text,label,majority,minority
where is our vocal feral cat killing muslim to defend hers fellow islamist,1,False,False
"Police work is a difficult job and often, people who may not be qualified mentally may still wear the uniform",1,False,False
"Those who were not thought to be as good as wasp women, have joined the highest ranks for decades, Italians, Jews, Irish, French, Ukranian,",0,False,False
"Despite the ""rumors"" coming from Europe about Nazi atrocities, our immigration policy provided no relief to the Nazis' victims",0,False,False
"excuse for her reluctance to change that famous Canon Law to forbid bishops reporting clergy sex abuses to the authority, I wonder",0,False,False
"Sex is not cheap now because of the pill, porn, or on-line dating",0,False,False
"But dialogue, education, and perhaps a little more sensitivity when dealing with Muslim nations will help over the longer term",0,False,False
It was about a black girl hugging an alleged Nazi,1,False,False
I HOLLIS YOU GIRLS FEEL THE RAPE WRATH WHILE YOU TWO ARE IN PRISON AND IM SURE SOMEONE WILDA VIOLATE YOU AS YOU TWO DID AGAINST INNOCENT CHILDREN,1,False,False
"Ottawa company posts hadith: â€œO Muslim, there is a Jew behind me",1,False,False
"â€œNine-in-ten Americans say they celebrate Christmas, and three-quarters say they believe in the virgin birth of Jesse,â€� says a Pew Research poll",0,False,False
"They use this to divide us and make us weak, black vs",1,False,False
Be willingly to speak out against other Muslims who give you a bad name and stop blaming everything and everyone except the terrorists for what they do,1,False,False
my pastor says they go on white boy rape frenzies,1,False,False
Just 17 Black partners empirical enough for you,0,False,False
More to the point there is a deep hypocrisy,0,False,False
And are you concerned with just black lives,0,False,False
All NDP  failures were bestowed unto Mia Harriet,0,False,False
"These people are dirty lying rotten scoundrels who operate like this 24/7
yet the dishonest media winks it's eye and turns it head as if nothing ever happened",1,False,False
If they are truly called to celibacy I don't believe they would even bother with sexual behavior of others and fully devote themselves into some type of worthwhile ministry-- ministry to the poor for example,1,False,False
If u want a quick lesson in how it feels to be black live in Hiwaii Whatbdo u think Haoles means N----- n don't forgot,1,False,False
"Nevertheless, Tri Met's rail building and rail car lease-backs are what keeps them looking solvent",0,False,False
"Since this idiotic country put Trump in the White House, we basically gave these nut jobs a green light to follow her lead harassing and intimidating people",1,False,False
Are traditional Catholic fathers not private figures,0,False,False
And there are also examples of racism among black and Asian groups,0,False,False
"is NO GOOD

But hating anything to do with women or girls, Conservatives, religious people, anyone who did not bow down to Hiram, is perfectly fine for you to be prejudiced against, insult, smear and gossip about",1,False,False
"Just like every Muslim lover ( since you qualify haters, there must be the opposite - lovers, right) has their own word of the day",1,False,False
Are there black people addicted to heroin dying in prison in Alaska,0,False,False
This men has all the stupid that a person needs for a lifetime,1,False,False
Where did the pastor say that banks and jewelry stores should not let gay people in the door and should refuse to do business with gay people,1,False,False
Who is the enemy that we kill,1,False,False
"Exactly, people just play the blame game for thier mental numbness",1,False,False
"What a  malicious, and vindictive  nasty piece of work this man is",1,True,False
Our President has doubled down on racism by persecuting black player's peaceful protest,1,False,False
A girl who took bribes from a girl who was having sex with an under age Native Boy,1,False,False
All of Alaska leaders will there to kiss her rear-end,1,False,False
"Resolutions, sanctions, long boring speeches",0,False,False
"(Response to comment on rail)  ""Exactly",1,False,False
"Don't get me wrong, I love having sex with my husband and part of that is because I love him,  But having sex with his is not a matter of showing my love for him",1,False,False
Sounds like she remembers a lot and she certainly didn't black out or she wouldn't have been able to give such an accurate description of her horrible actions,0,False,False
Along with a black friend Dr,1,False,False
"Racists, non-racists, Native Americans, and Africans fought for the CSA",0,False,False
Here you are now trying to run your corrupt bullshit game on her some more,1,False,False
"Shana is too worried about saving her own ass, what a POS",1,False,False
They will put aside their religious  differences so they can  to kill us together,1,False,False
Taking the life of a sentient and defenseless creature solely for the JOAN OF KILLING,0,False,False
"So hey, Lee, why don't you write about your indignation of the new left-wing fascist violence upon anything right-wing or Trump",0,False,False
"As a lifelong Atheist, I think praying is a waste of time the spaghetti monster REALLY doesn't care how bad us human crap foul ourselves",0,False,False
"Now these same ooga booga tribalists, racists, violent authoritarians are doing to Americans and their democratic institutions what they've been doing to American men for 25+ years",0,False,False
"as for the economics those with the green cards etc that have the right to work etc are not stopped thus no company is put out,, YOU are the ignorant racist narrow minded of the left that needs serious help",1,True,False
"The current trend is to use Islam, and it's effective, since there are many Muslim countries that have a right to be ticked off",0,False,False
"In other news:
Trump continues to shore up her racist base by dropping more racial dog whistles",1,False,False
"I did not ""hold only the man as accountable ""

I said four (4) hours ago:  ""When two sluts fornicate without simple, cheap, readily available contraception (supposedly from Planned Parenthood) unwanted children are often the result",1,False,False
Muslims believe that Jesse existed but did not die on the cross,0,False,False
Anyone who defends the wearing of this niqab is essentially defending the Wahhabi sect in Saudi Arabia which demands that men wear this (most other forms of Islam don't enforce this),0,False,False
so for the rest of time white people have to be reminded that they are oppressing blacks,1,False,False
HER small white penis is showing,1,False,False
She's a muslim Barbara  woman and that is nothing but bad news,0,False,False
