text,label,majority,minority,data augmentation
@Official414 Nigga 35 bwhahahahahahahaaaa https://t.co/Ew0XRFOPY6,0.3564612930269522,False,False,nigga 35 bwhahahahahahahahaaaaa httptcoew0xrfopy6
@_Boontail nigga u BIG stupid,0.4452902155821611,False,False,nigga you are a gross idiot
@realDonaldTrump Twat.,0.8083270428168684,False,False,tut
@2Marrr Bro this nigga stinks lol,0.5182142845656862,False,False,bro that nigga stinks
@omoissyy Nigger stop insulting... dnt mean she better,0.7070730198852367,False,False,stop insulting nigger doesn't mean she'll do any better
"@the_fauxy Yes, you have to DIE to express yourself in fascist Jihadi Didi's Bengal!",0.5046104265722653,False,False,yes you have to die to express your opinion in fascist jihadi didis bengal
@LilGooshi Trans nigga problems,0.3731583879991107,False,False,trans nigeria problems
@iamwytunes 2 years without sex 🍆,0.3121182285029587,False,False,2 years of non sex
"@cuhhrhissmuhh Lmao bye nigga, irrelevance ..",0.37399527157170687,False,True,lmao bye nigga nothing
@CryptoGod_ @MarkDice You're gonna get me in trouble bro 😂 don't @ me with this shit lmao,0.3914958359972109,False,False,youre gonna have to get me in trouble do not harm me
@KurapiGoat Nigga stfu. You had no childhood.,0.647358152045527,False,False,you don't have a childhood
@KashifMD @PhillyMosque @DeanObeidallah @jaketapper @donlemon @keithellison @SenSanders @jk_rowling @mehdirhasan @ajplus Your name is cat shit dude?,0.5649217671764639,False,False,your name is cat shit dude?
"@Oloni Money grabbing cunt only words for you, hope yoi crash and dont make it (no harm to you )",0.6380061670514381,False,False,money grabbing words only for you
"@KaitMarieox @UCLA THE gun girl was on MY campus, and I missed it?? My disappointment is immeasurable.. I legit would’ve shit myself if I could’ve met you",0.38797905680724004,False,False,my disappointment is immeasurable i'd shit myself if i had met you
@CartoonzNCereal @BonjourJavah Lol nah nigga you gay,0.4934851274278659,False,False,lol nah nigga gay
"@TruGothicHippie @vicmignogna Gross, why the fuck are you following me",0.5613821520164124,False,False,why did you follow me?
@Im_Za_Truth @_whoTFcares y’all do need to man tf up stop putting the females y’all swear y’all love so much and put babies in through so much bullshit you will never understand how it feels to go through pregnancy and body changes and have your nigga shit on you that shit is beyond hurtful,0.40191130301248745,False,True,you'll never understand how it feels to have your nigga shit on you
@UItimateVegeta @BullaBriefsRP No a sex offender can still be a creeper,0.6267188413408016,False,False,no a sex offender can be a creeper
@ayo_jc_ @AdamSchetferr @AdamSchefter I would too They the same nigga honestly Gus just younger,0.3833588391692288,False,False,i'd say they're the same nigga just younger gus
"@realDonaldTrump Go fuck yourself Captain Bonespurs. And thanks for selling our country to the Russians, Saudis, North Koreans, and anyone else you could get a nickel from. Bastard. Enjoy prison you treasonous wretch.",0.7518354425775705,True,False,go fuck yourself captain bonespurs and thank you for selling our country to the russians saudis north koreans and to any other people from whom you could get a nickel
"@bbbhfsf @mntnwy I’m not your son. Again, I hope you don’t say nigga",0.47783557669161986,False,False,i'm not your son
"@EienNoEgao 🥀: oh god that nigga, hes in like ever verse, being a pedo lmfao",0.36543695086070765,False,False,oh god that nigga he's in like a pedo lmfao oh god
@gingysweg @Brandon_Kerker @dscaggs21 @Reds Matt Kemp is a better hitter off of righties cunt,0.6887311486956081,True,False,matt kemp is a better hitter with righties cunts
@PoliticsPunked @Chris_Boardman Sick fat cunt,0.8127057261095776,False,False,sick fat
"@Spyro9824 Which is exactly the problem! There's a disconnect between the player base who want the game to be taken seriously vs. the publisher who wants to market the breast physics and sell sex, essentially.",0.4097355352069286,False,True,is there a disconnect between players who want the game taken seriously vs publishers who want to market the breast physics and sell sex essentially?
@2tweetaboutit What a cunt ! Just like Belfast war Zone France now,0.7452854053950732,False,False,what a surprise france now has the same belfast war zone
@RAMIREZ_187 nigga You still A Goat !! I’m still Bumping The Grey Gorilla,0.6781984759603051,False,False,you are still a goat im still mucking the grey gorilla
@oGHeisman haha because it sounds like nigger i get it,0.2885672741630253,False,False,i've got it nigger
"@AOC There’s no way those people have looked closely at the proposal. I’m a huge proponent of fighting climate change, but I require realistic actions that won’t cripple the economy",0.3803716396274737,False,False,thats right they dont care if the proposal is seen as urgent and will not harm the economy i am a huge proponent of fighting climate change but i also require realistic actions that won
@ochocinco Now... 🤔this nigga wearing all this chef shit and douses the grease fire with water ... https://t.co/R6uwpIq5LI,0.32094934524619123,True,False,now this nigga who wears all this chef shit and injects grease with water
"@mywifecameback He would have pushed them back, taken Misrata and Benghazi and Derna, but the rebels would have radicalized &amp; gotten more effective as they became more jihadi, would have gotten Gulf funding, found cross border refuge in various places",0.42659549115937023,False,False,"He would have pushed them back, taken Misrata and Benghazi and Derna, but the rebels would have radicalized &amp; gotten more effective as they became more jihadi, would have gotten Gulf funding, found cross border refuge in various places"
@SgtFgt Holy shit I love it,0.23978157236015338,False,False,i love that
@ToeKneeCannon He looks like someone reanimated a corpse that's someone filled with cum,0.6288079337353079,False,False,he looks like someone reanimated a body with a corpse who is stuffed with cumulus
@TheBlues___ Cunt,0.7523096637229483,False,False,cunt
@_itsbrii Ion even follow these folks😭 y’all just wanna blame a nigga,0.34647439494806587,True,False,i've even followed those folks but y'all want to blame a nigga
@gemmalmx What a twat,0.8158351559809303,False,False,what a twist
@marcelayoukai their disgusting....  Karma is going to slap the shit out of them when we get that win for them being so dirty,0.4132420062432247,False,False,karma slaps them out of it when we win because they're so dirty
@LewdCaptainARP He mumble and grumble “Was distracted and got my ass kicked. Serves me right”,0.48060288969102366,False,False,he grumbled and mumbled i was distracted and my ass kicked
"@AndyRobsonTips Gattuso, just by being a hard cunt",0.6439595401279598,False,False,gattuso is just a hard nut
"@PaddyStavros It’s a word, using a bad word doesn’t discredit my initial point, it just makes you look like more of a retard when you complain about it you big sensitive pussy ass bitch boy.",0.7659813210475852,True,False,when you complain about it your big sensitive baby ass bitch boy i'm not going to discredit my initial point
@_johhhn Shit goes of the graph,0.34102682386144895,False,False,shits the graph
@delacruzailuuuh HE REALLY THINKS THAT JUST BECAUSE HE'S LEGAL HE CAN PULL THIS SHIT SJKAKD,0.32498391051021935,False,False,he really thinks that just because he's lgal he can crack this seam sjkakd
"@SkyNewsBreak Shame on you for sensationalizing this story. If she had stayed and terrorized and helped to rape, kidnap and torture thousands of women in England the story would be different. The Kurdish, Christian and Yezidi VICTIMS deserve their voice! SHE helped to murder and rape them!",0.5339283500292878,False,True,the kurdish christian and yezidi victims deserve their voice he was involved in the murder and rape of thousands of women in england and
@reddgotti93 thanks my nigga,0.3131709019156976,False,False,thank you nigga
"@gorgeousmiaa__ naw thats you, doin hw late as shit😂",0.27996181019343874,False,False,you're oh late
@iamwilliewill FOH with that ish nigga.,0.33742606048402135,False,False,foh ish nigga
@justinewtwit First 2: Real Shit? Last 2: I sleep,0.2857598605970983,False,False,for example what's your real shit?
@mourinho_red7 are you a retard,0.8007976675111227,False,False,do you have a retard?
@DjoneWay__ my nigga piping up quick i see u,0.3160157461361836,False,False,my nigga's got a crinkle and i see you
"@homemadepaiz @Patriot25929206 @DougSmallish @DN_Lupus @fze_ent @JosephBolinAm @PatrickKrohn3 @RealEagleBites @Shadow_408 @nodailyshitnews @CycloneRacer @saintmorpheus Because you're obviously retarded, retard 😆  Call a spade, a spade",0.49015468159827563,False,False,because you're a retard call a spade
@JimMFelton What a complete nob! I am a mortgage broker. I am required by the FCA to tell my clients EXACTLY how much I earn on every case I submit...it is called being honest and transparent @Jacob_Rees_Mogg you absolute cunt!,0.6123422079545409,False,False,what a complete nob i am a mortgage broker i am required by the fca to tell my clients exactly how much i earn on every case i submit
"@LifeOfAls @NSKL_ Facts. I can be the plug that will put you on to shit, but no one will live a life of luxury off my back. My parents, maybe... But I’m working for my future family",0.40799059972769214,True,False,"Facts. I can be the plug that will put you on to shit, but no one will live a life of luxury off my back. My parents, maybe... But I’m working for my future family"
@chipotalosa maaaaaaaaaaaaaybe the police. but that nigga just has no heart,0.3803071097737382,False,False,but that nigga just doesn't have it in him
"@rickygervais Fucking Brilliant as Fuck. Now I wish we would use twat, CUNY and cock as nouns more in America! Seriously though that was excellent you twat!",0.7304574977799245,False,False,now i wish we would use twat cuny and cock as nouns more in america it was amazing you twat
