text,label,majority,minority,data augmentation
where is our vocal feral cat killing muslim to defend his fellow islamist,1,False,False,where is our solitary cat killing muslims to protect his fellow islamists?
"Police work is a difficult job and often, people who may not be qualified mentally may still wear the uniform",1,False,False,police work is a difficult job people who may not be mentally qualified can sometimes still wear uniforms
"Those who were not thought to be as good as wasp men, have joined the highest ranks for decades, Italians, Jews, Irish, French, Ukranian,",0,False,False,for decades italians jews irish french ukranians irish who were not thought to be as good as wasps are at the top ranks
"
Despite the ""rumors"" coming from Europe about Nazi atrocities, our immigration policy provided no relief to the Nazis' victims",0,False,False,our immigration policy provided no relief to nazi victims despite the rumors coming from europe about nazi atrocities
"excuse for his reluctance to change that famous Canon Law to forbid bishops reporting clergy sex abuses to the authority, I wonder",0,False,False,why he didn't change the famous canon law to forbid bishops from reporting sex abuses with the church i wonder if he would have e
"Sex is not cheap now because of the pill, porn, or on-line dating",0,False,False,sex isn't cheap right now because of the pill porn and on-line dating
"

But dialogue, education, and perhaps a little more sensitivity when dealing with Muslim nations will help over the longer term",0,False,False,dialog education and perhaps a little more sensitivity when dealing with muslim nations will help to a great extent over the long term
It was about a black guy hugging an alleged Nazi,1,False,False,it was about a black guy hugging a suspected nazi
I HOPE YOU GUYS FEEL THE RAPE WRATH WHILE YOU TWO ARE IN PRISON AND IM SURE SOMEONE WILL VIOLATE YOU AS YOU TWO DID AGAINST INNOCENT CHILDREN,1,False,False,i hope you guys feel the rape wrath while you are in prison and i'm sure someone will be around you as you two do toward innocuous  children
"Ottawa company posts hadith: â€œO Muslim, there is a Jew behind me",1,False,False,o muslim there's a jew behind me
"â€œNine-in-ten Americans say they celebrate Christmas, and three-quarters say they believe in the virgin birth of Jesus,â€� says a Pew Research poll",0,False,False,the poll of 152000 americans found that nine-in-ten americans celebrate christmas and three quarters believe in the virgin birth of jesus
"They use this to divide us and make us weak, black vs",1,False,False,they use this to divide us and make us weak black vs white
Be willingly to speak out against other Muslims who give you a bad name and stop blaming everything and everyone except the terrorists for what they do,1,False,False,be willing to speak out against others muslims who give you a bad name and stop blaming everything except for terrorists for what they do
my pastor says they go on white girl rape frenzies,1,False,False,my pastor says they're going on rape frenzies
Just 17 Black partners empirical enough for you,0,False,False,17 black men empirical enough for you
