text,Class
"Only people entitled to decide if @msdhoni sporting the Paras insignia on cricket field violates any norm is @adgpi. Else, he has worn it with pride, as a personal code and not as an act of hostility against any nation. No basis for ICC to have a problem  #DhoniKeepsTheGlove",0
Mr. Johnson Back at it Again #snowinjune #johnsonandjohnson #smogg #BorisJohnsonShouldNotBePM https://t.co/0j9zQCpaKG,1
#whereisboris  Hiding in plain sight like all bullies.  #BorisJohnsonShouldNotBePM,1
#DoctorsProtest  #DoctorsFightBack   #doctors_against_assualt   Do you think Mamata Banerjee should resign as CM of West Bengal as she has failed to protect the doctors. Or President Rule should be imposed #SaveBengal     RT = AGREE  Like=President Rule,1
Being an Lieutenant Colonel there is nothing wrong in having that on his gloves #DhoniKeepsTheGlove,0
No @GOP lawmakers with any guts? #TrumpIsATraitor https://t.co/acklHaRMZz,0
Trendy TSHIRT DESIGN WITHIN 24HRS  https://t.co/OU2deDteUC     #tshirts #tshirtdesign #tees #clothing #fashion #motivational #inspirational #millionairementality #success #traitor #fucktrump #impeachtrump #taxday #TuesdayMotivation #quote #sandiego,0
@realDonaldTrump Just this: T.R.U.M.P  is ...    GOOD! HE SHOULD BE!    #TrumpIsATraitor https://t.co/5LbpbOCrdg,0
Can doctors go on strike after their working hours ? Little children &amp; helpless patients are dying. #doyourduty #DoctorsProtest  #DoctorsFightBack,0
#DoctorsFightBack  Mamatha behaving like a dictator with tonnes of ego.  Spoke irresposible way on a serious matter.  Playing Appeasement Politics at the cost of lives of Doctors&amp;Patients.  Resignation of Sr Doctors is an Insult&amp;Shame for her.  She lost Morally to continue as CM.,0
@GOP That is pure BS... #TrumpIsATraitor https://t.co/BinzwyzrL9,0
Shining Diva Italian Designer Non Precious Metal Jewellery Set @ Rs.398    https://t.co/yYoRiEnR4c    More: https://t.co/7ZfoIvw94u    https://t.co/yYoRiEnR4c    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,0
This is what happens in this world today and it’s so fucked up this was all so uncalled for. So for this I say once again.... #FUCKTHEPOLICE #FUCKTRUMP #FUCKTHEGOVERNMENT https://t.co/aUM4aL9gAN,1
"Hoping tomorrow, it will be #INDvsPAK match and not #indiavsrain. We all want to see 7-0 in record. #Dhoni7 #PKMKB #ShameOnICC  #CWC2019 #TeamIndia #Meninblue #lejayenge",0
"Breaking News. After all the controversies, Dhoni decides how to tackle the issue for Sunday's #IndvAus Clash. 😀    Decides to Parajump into the ground with the badges !!!   #DhoniKeepsTheGlove   #DhoniKeSaathDesh https://t.co/4IQ9ELIPCr",0
"*After betrayal from momta Didi, media and patients*    AIIMS Doctors:     #DoctorsStrike #DidiVsDoctors #DoctorsFightBack #SaveBengal https://t.co/QZvAMILc3m",0
We are very unfortunate to have this man as our PM. @MaryamNSharif @AWGoraya @ammarjan   #PuppetPM  #tabdeelikisuicide   #ImranHataoMulkBachao https://t.co/53SPlMyLrw,0
"We are with the doctors of west bengal.  From Bhavnagar, Gujrat.  @MamataOfficial @PMOIndia @drharshvardhan @MoHFW_INDIA   #Savethedoctors #SaveBengal #DoctorsFightBack #DoctorStrike #doctors_against_assualt #DoctorsProtest https://t.co/qsAQYmvJR1",0
There is only one clear winner this Cricket World Cup- RAIN; given us consistent performances and remains undefeated!!!! #ShameOnICC,0
#huckabeesdaughterlies #huckabeesdaughterlies.... your daughter lies so much you cant tell the difference betwern her and #trumpisatraitor https://t.co/oUUHNifisx,0
✨NEW✨    Frankie Say Impeach - retro tee!     Get yours here 👉 https://t.co/3eEmeSGtMx    #ImpeachTrump #FuckTrump #ImpeachmentNOW https://t.co/jm8UGnc6AD,0
"@tictoc Condemn a foreign power who attacked our democracy?🤔🤔🤔 ohhh, you must be talking about Benghazi. You rememember that right Hill? Where 4 Americans were killed while you ignored their requests for help. #STFU #Murderer #NeverForgetBenghazi #DemonstrationMyAss #POS",1
The list of reasons why @realDonaldTrump is one of the most despicable people we’ve ever seen is endless. If there is any justice in this world he will die alone in a prison cell. #FuckTrump  https://t.co/xC6itqsqnn,1
"@CJ_isnowblue @realDonaldTrump working on his final and biggest bankruptcy ever, buhleave me!    #TheBiggestLoser  #TheFattestLoser   #PresidentialFatassment    #FuckTrump before he #FucksUS",3
"@TheRealOJ32 Get lost, butcher.      #Murderer https://t.co/ZCRKpuue6k",2
@DonaldJTrumpJr This tweet coming from a criminal...irony at it's best.  #Fucktrump and his vile offspring.,2
"I just want to wish a great man a very wonderful day...#HappyJohnMcCainDay.  Also, #HappyFlagDay! I’d like to take this time to also say #FuckTrump.",0
@SenSchumer @realDonaldTrump @senatemajldr @SenateGOP Just like he flip flopped on Russia interference in our election. To I don't see why it would be #Russia to I don't see why it wouldn't be #Russia #TrumpRussia #PutinPuppet #TraitorTrump #TreasonousTrump   #TrumpIsATraitor   https://t.co/0xwGqMLXrN,0
!!! !!! WE 'KNOW' YOU ARE A 'LOW-LIFE' - #MURDERER AND GUILTY-OF #KILLING #NICOLEBROWNSIMPSON AND #RONGOLDMAN ... AN #INNOCENT 'MAN' DOESN'T #RUN !!! !!! ///  #KILLER #KILLER #KILLER  #OJSimpson //////////////// https://t.co/X6jSG5z7xM,0
"Dear ,  ICC instead of banning MS Dhoni to wear  gloves with BALIDAN remark   please improve your umpiring   You are umpiring system is the poorest and making mistrust instead fair game     #DhoniKeepsTheGlove  #ICC  #WorldCup2019   #BalidaanBadge https://t.co/RQDf7zsipY",0
@edgonzal1976 @TheRealOJ32 lol #OJSimpson 'has a little getting even to do'    thankfully knife blades can't penetrate my twitter account    #murderer @TheRealOJ32,2
MAGAts will be wishing the gobshite happy bday today. This day should be used to celebrate a man with honor not a traitor to our country. June 14th is #HappyJohnMcCainDay plz tweet n keep retweeting these 2#'s #JohnMcCainDay to keep them trending all day #fuckTrump n his bday https://t.co/ecW6eVEQty,2
@theScore @Drake Act like you been there befo....Oh that’s right. Never been there. That’s cute. Good for you guys....#DoucheBag,0
Top 50 hashtags mentioning @realDonaldTrump for 2019-06-15 07:00 to 2019-06-15 15:00 GMT+0  #MAGA #JohnMcCainDay #Trump2020 #DerangedDonald #Trump #TrumpIsATraitor #ImpeachTrumpNow #WWG1WGA #RT #ImpeachTrump   https://t.co/CSJrZiSfsH,0
@realDonaldTrump Amongst Trump University Alumni.   #FuckTrump,1
@4YrsToday @erichards24 HAPPY JOHN MC CAIN DAY! #fucktrump #trumpcolluded #lazysumbitch,0
@Michael78638852 @SamerAbukhaled I've heard the 2 to 3 hrs a day he works is really tough... #JohnMcCainDay #TrumpIsATraitor,1
THAT IS WHO HE IS!!!! #douchebag #shallow #nothinginside #thebachelorette,0
Meanwhile UNpresident #pussygrabber dumb fuck @realDonaldTrump is still sitting in his office chillin. #FuckTrump https://t.co/3EG5sWyIpK,3
@CarolinePidgeon scrutinised and endured @BorisJohnson wasting public money. The role of a politician includes ensuing public money is not wasted. For that alone he should be fired! Recall petition in Uxbridge please! Not convinced? Read on... #BorisJohnsonShouldNotBePM https://t.co/I9FyZfgTBc,0
Rationalizing #treason    #IdiotOrange™ #TrumpIsaTraitor #IMPEACH45    https://t.co/HCqoxdTzvv  https://t.co/YmHIVE86R8  https://t.co/QTsVuBHVgY  https://t.co/GXlNPdFHNO    @realDonaldTrump @VP @PressSec @SenateMajLdr @SenJeffMerkley @ChuckSchumer @SpeakerPelosi https://t.co/cusdGaUIru,0
See who funded the #AbortionBan! You may be surprised. https://t.co/VRPVMQ1j3K via @sludge #AbortionRights #FuckTrump,3
"@UxbEconomist07 @GuidoFawkes @BorisJohnson @Conservatives Remain know he’s bad, he couldn’t win an election, he’s atrocious. Remain Tories trying to hang on to their dwindling influence. #borisorbust #BorisJohnsonShouldNotBePM #borisjohnson #boris",2
"#imranhataomulkbachao InshaAllah we will be supporting our Chairman @BBhuttoZardari and @AsifZardariPPP in every protest against this #awamdushman, Nalahiq Niazi..! https://t.co/0ApffXx40Y",0
"The big event of #WC19 is today #terroristNationPakistan  Vs lovely people of #Indians , hope #India win it InshaAllah",1
"Hypocrisy is Pakistani team can offer namaz on the ground but Dhoni cant display balidan badge?? Then Indian team should offer Hanuman Chalisa, Durga Puja on the ground.  #DhoniKeepsTheGlove",1
@KP24 @ICC can see @msdhoni badge but doesn't see the ground was not covered.  Most developed Country in 🌏 and call 🏏 as the national sports Yet can't do anything for the biggest tournament. Learn something from #EdenGarden  #ShameOnICC #WorldCup2019 #iccraincup2019 #CricketKaCrown https://t.co/TKfg1rJPeh,1
All the best to #TeamIndia for another swimming competition on Sunday against   #India 🇮🇳 #Pakistan. 🇵🇰     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ https://t.co/LmI5bnCCvR,0
@GOP @SenateGOP @HouseGOP @foxandfriends @FoxNewsSunday Hey!!!!!!  Who is investigating this???????? #DISGUSTINGHUMANBEING #IllegitimatePresident #LiarInChief #rapist #childmolester #chesterthemolester #incest https://t.co/Iq3Ug1JfB7,0
Layleen Polanco is the 10th trans woman found dead in U.S. this year #Resist #ResistTrump #FuckTrump https://t.co/8RrE6cZNkm,3
What to do about a #disloyal #president and a party that supports him    #TrumpIsATraitor   #ComplicitGOP https://t.co/xwJTXrmejN,1
Fact One  @RoryStewartUK and #BorisJohnson attend Eton and Oxford  #RoryStewart becomes Foreign office Diplomat awarded OBE for services in Afghanistan  #BorisJohnson becomes Times Newspaper Columnist sacked for deception  #roryforleader #BorisJohnsonShouldNotBePM,1
"NO SHIT, SHERLOCK! #FuckfaceVonClownstick wants impeachment. . .it’s more attention and he can play “poor me.”  #FuckTrump https://t.co/WIlxE9WQf7",3
Electing #BorisJohnson as their leader will damn @Conservatives in the eyes of sensible voters    It shows their utter desperation    It will be proof that Tories as a political party care nothing for honesty truth or basic morality     #BorisJohnsonShouldNotBePM,1
"@funder Am I the only one who feels like it’s no longer a question of if #TrumpIsATraitor, but rather if Republicans are still Americans?",1
#FuckTrump BREAKING: Trump asserts executive privilege to block access to census documents–President Don… via @POLITICO for iOS https://t.co/ondOP9Bayz,0
#notmypresident Looking forward to seeing the donald blimp in D.C.  #fucktrump #realDonaldTrump  EPIC! https://t.co/Z9cGY5j8tK,0
#SouravGanguly urges @ICC's proactiveness to prevent washouts in @cricketworldcup   #ShameOnICC #ICCWorldCup2019 #ICCWC2019 #ICC #ICCWorldCup #CricketWorldCup2019 #CricketWorldCup #CricketKaCrown #CricketMeriJaan #WorldCup2019 #WorldCup #Worldcup19 https://t.co/nNlcLIuGSU,0
@RubikaLiyaquat It's really shameful @RubikaLiyaquat that #rapist will not be hanged,0
#FuckTrump  Still.  Again  Please. https://t.co/ogxH1TDZxy,3
🤡 Happy Birthday President tRumpf! https://t.co/2O47krtroc #JohnMCainDay #TrumpBirthday #HappyBirthdayTrump #fuckTrump #resist,0
@RichieFed @mommamia1217 @realDonaldTrump Money can't buy class. He has no class and never will be anything but a low life. #TrumpIsATraitor,0
Oh and if you don’t know now you know... #fucktrump &amp; #thisadministration,0
#DoctorsFightBack  @MamataOfficial dear didi don't make it your ego issue.  You are making mess out of it.   Don't play politics with poor patients life.   I hope lord shri Ram will give you better understanding.  Jay shri ram 🚩,0
"#FakeDonaldTrump knows who the #princeOfWhales is, but then who is the duke of dolphins?  #idiotTrump",0
"@realDonaldTrump We all heard tRump say it on television.     #IdTakeIt     So, he didn’t collude but given the chance to collude, he would. On the question posed to him about accepting forign intelligence on an opponent.     “I’d take it.” - Donald J. Trump     @GOP     @realDonaldTrump     #IdiotTrump https://t.co/hGNmD2RVxy",1
So now OJ is going to take time off finding the 'real killer' just long enough to 'get even'!?!?  Disgusting...  #OJSimpson #SerialKiller #murderer,0
"@realDonaldTrump @USArmy @realDonaldTrump And YOU had NOTHING to do with it! If they're so great, why do you keep selling us out to #NorthKorea and #Russia? Oh, right. Because #TrumpIsATraitor.",2
"@TheRealOJ32 Hey, OJ.     Question: What's really fast, red, white and green all over.  Answer: A bloody jealous ex-husband speeding through Brentwood in a Ford Bronco.    #Murderer",0
"Prisoner Number A9947CR, Letters From A Paedophile.    Letter dated 05-08-2013, find more on our website, link below.    #paedophile #paedo #pedo #rapist #rapists #rape #sexoffender #criminal #offender #jailmail #convict #crime #LFAP #insidetime #letters    https://t.co/7v06v8edie https://t.co/36nbCYL6ME",2
@RVCJ_FB #INDPAKVSRAIN @ICC  @cricketworldcup   #CWC19   #ShameOnICC     ''This is not India vs Pakistan  This is IND-PAK VS RAIN,0
"@narendramodi #Congratulations P.M. we are happy to have you our #prime minister. I would like to request you take some #strict action against #rapist, make some strict #rules against them. Numbers of rape are #increasing day by day instead of #reducing...",0
"🎉 Party time! For Trump's birthday, we're celebrating 'John McCain Day!' Such a wonderful idea @realDonaldTrump! So selfless you are!     McCain was such an incredible &amp; brave war hero. Let's all admire his beautiful ship, the USS John S. McCain!     #McCainDay   #TrumpIsATraitor https://t.co/I9IYqOfDD5",0
#INDvAUS #AUSvIND #DhoniKeepsTheGlove #CWC19     Who else?????     Like... if you as well https://t.co/hi82lfQPKt,0
So what's @BorisJohnson had to say for himself at this #C4debate then?     😂😂😂     #Dickhead #TurnUpYouSpoon,0
Doctors strike continues across nation they need justice for them. #DoctorsProtest #DoctorsStrike #DoctorsFightBack,0
#IdiotTrump Claims he Dazzled #QueenElizabeth | 😂😂😂😂😂 https://t.co/rh00xKvLA7,0
@SpeakerPelosi How does the voting public Not see your failure to Impeach as more Democratic timidity and abdication of duty? #ImpeachNow #TrumpsAnInternationalDisgrace #TrumpIsATraitor,0
"@manishsharmaa02 @ICC Indians do not have any connection with the logic in any way. #DhoniKeepsTheGlove is a useless campaign. Better sense should prevail. Its a cricket game, play it with sportsmanship and dont try to be Chaudhary of cricket.  Adivce from Pakistan",0
ICC Rain World Cup 😀😁😂🤣😭    #ShameOnICC #CWC19 #INDvNZ #FridayMotivation #NBAFinals @ImBhupenSingh19 @ICC @BCCI @cricketworldcup https://t.co/DNOFfJAlew,1
@RepDougCollins @TheJusticeDept Look what's trending:  #JohnMcCainDay #JohnMcCainDayJune14 #JohnMcCainDayJune14th #JohnMcCainAmericanHero   vs.  #TrumpIsATraitor #TrumpTreason  #TrumpsAnInternationalDisgrace #TrumpResignNow #TrumpCriminalInvestigations #TrumpCrimeSyndicate #TrumpCrimeFamily #TrumpNatSecRisk   🇺🇸,0
