text,label,majority,minority,data augmentation
a baffling mixed platter of gritty realism and magic realism with a hard-to-swallow premise .,0,True,False,this is an odd mix of magic realism and gritty realism with a hard-to-welcomepremise
"it's a movie that ends with truckzilla , for cryin' out loud . if that doesn't clue you in that something's horribly wrong , nothing will .",0,False,False,"it's a movie that ends with truckzilla , for cryin' out loud . if that doesn't clue you in that something's horribly wrong , nothing will ."
you could love safe conduct ( laissez passer ) for being a subtitled french movie that is 170 minutes long . you could hate it for the same reason .,1,True,False,you could love safe conduct ( laissez passer ) for being a subtitled french movie that is 170 minutes long . you could hate it for the same reason .
"if you're a crocodile hunter fan , you'll enjoy at least the "" real "" portions of the film . if you're looking for a story , don't bother .",0,False,False,if you're a fan of the hunter the film should at least have the real parts
high crimes miscasts nearly every leading character .,0,False,False,high crimes miscasts nearly every leading character .
"writer/director david caesar ladles on the local flavour with a hugely enjoyable film about changing times , clashing cultures and the pleasures of a well-made pizza .",1,False,False,writerdirector david caesar presents a highly enjoyable film about changing time clashing cultures and the pleasures of a good pizza
"not a cozy or ingratiating work , but it's challenging , sometimes clever , and always interesting , and those are reasons enough to see it .",1,False,False,"not a cozy or ingratiating work , but it's challenging , sometimes clever , and always interesting , and those are reasons enough to see it ."
the next generation of mob movie . part low rent godfather . part three stooges .,1,False,False,the next generation of mob movies part godfather low rent part three stooges
it's been 20 years since 48 hrs . made eddie murphy a movie star and the man hasn't aged a day . but his showboating wise-cracker stock persona sure is getting old .,0,False,False,it's been 20 years since 48 hr made eddie murphy a movie star and he hasn't aged any more than a tad but his witty stock persona is definitely getting old
"this boisterous comedy serves up a cruel reminder of the fate of hundreds of thousands of chinese , one which can only qualify as a terrible tragedy .",1,True,False,this boisterous comedy serves a cruel reminder of the fate of hundreds of thousands of chinese
ear-splitting exercise in formula crash-and-bash action .,0,False,False,ear-splitting exercise in formula crash-and-bash action .
"opens as promising as any war/adventure film you'll ever see and dissolves into a routine courtroom drama , better suited for a movie titled "" glory : a soldier's story . """,0,False,False,"opens as promising as any war/adventure film you'll ever see and dissolves into a routine courtroom drama , better suited for a movie titled "" glory : a soldier's story . """
the movie is undone by a filmmaking methodology that's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads .,0,False,False,the film is ruined by a filmmaking method that's just experimental enough to alienate the mainstream audience while slandering hard-core indie
