,Sentence1,Emotion
5520,My son found himself in an irritating situation.,0
7541,The conversation with Torrance was vexing.,0
3496,I made my daughter feel ecstatic.,3
2654,I made Josh feel fearful.,2
4510,Betsy made me feel terrified.,2
4577,Stephanie made me feel glad.,3
2729,I made Justin feel disappointed.,1
1896,The situation makes Shaniqua feel ecstatic.,3
2634,I made Harry feel fearful.,2
2164,The situation makes Stephanie feel annoyed.,0
3435,I made this woman feel happy.,3
6078,This woman found herself in a wonderful situation.,3
2892,I made my son feel scared.,2
2604,I made Adam feel annoyed.,0
5847,Amanda found herself in a grim situation.,1
7030,Latoya told us all about the recent horrible events.,2
302,Frank feels irritated.,0
5264,Harry found himself in a displeasing situation.,0
4297,Shaniqua made me feel glad.,3
2429,I made Jamel feel disappointed.,1
3990,Jack made me feel terrified.,2
5545,My husband found himself in a depressing situation.,1
3593,I made my mom feel anxious.,2
4006,He made me feel depressed.,1
272,Roger feels scared.,2
8442,The conversation with her was outrageous.,0
7038,Latoya told us all about the recent wonderful events.,3
6720,My son told us all about the recent irritating events.,0
3810,Adam made me feel terrified.,2
4252,Ebony made me feel scared.,2
3954,Ryan made me feel fearful.,2
6520,Alan told us all about the recent irritating events.,0
7200,Stephanie told us all about the recent irritating events.,0
2564,I made Malik feel annoyed.,0
3481,I made my daughter feel furious.,0
6031,Ellen found herself in a threatening situation.,2
5144,Torrance found himself in a displeasing situation.,0
6252,Alonzo told us all about the recent terrifying events.,2
1882,The situation makes Shaniqua feel irritated.,0
3219,I made Amanda feel excited.,3
1947,The situation makes Tia feel devastated.,1
1714,The situation makes my husband feel fearful.,2
8023,The conversation with my dad was annoying.,0
1034,This woman feels fearful.,2
5477,This man found himself in an amazing situation.,3
4498,Katie made me feel relieved.,3
4022,This man made me feel irritated.,0
8417,The conversation with Stephanie was amazing.,3
8147,The conversation with Jasmine was grim.,1
5903,Melanie found herself in an annoying situation.,0
8351,The conversation with Betsy was threatening.,2
1656,The situation makes this boy feel ecstatic.,3
7818,The conversation with Andrew was wonderful.,3
3803,Adam made me feel enraged.,0
6895,Ebony told us all about the recent funny events.,3
7032,Latoya told us all about the recent terrifying events.,2
8263,The conversation with Courtney was annoying.,0
4429,Courtney made me feel disappointed.,1
2218,The situation makes her feel relieved.,3
1157,My mother feels glad.,3
5407,Andrew found himself in a grim situation.,1
7010,Lakisha told us all about the recent horrible events.,2
491,My son feels discouraged.,2
4588,Ellen made me feel miserable.,1
5480,This boy found himself in an irritating situation.,0
7546,The conversation with Torrance was serious.,1
6026,Ellen found herself in a serious situation.,1
7357,My wife told us all about the recent amazing events.,3
6507,Roger told us all about the recent grim events.,1
897,Katie feels glad.,3
6544,Frank told us all about the recent displeasing events.,0
4160,My uncle made me feel angry.,0
2046,The situation makes Heather feel depressed.,1
8386,The conversation with Nancy was serious.,1
114,Torrance feels fearful.,2
6641,He told us all about the recent vexing events.,0
1930,The situation makes Tanisha feel terrified.,2
4338,Tanisha made me feel relieved.,3
6730,My son told us all about the recent horrible events.,2
7036,Latoya told us all about the recent hilarious events.,3
3771,Malik made me feel discouraged.,2
5587,My father found himself in a grim situation.,1
4633,This woman made me feel anxious.,2
6962,Tanisha told us all about the recent outrageous events.,0
5398,Ryan found himself in a wonderful situation.,3
1872,The situation makes Latisha feel scared.,2
6066,This woman found herself in a serious situation.,1
1534,The situation makes Justin feel fearful.,2
5782,Tia found herself in an outrageous situation.,0
3028,I made Shereen feel miserable.,1
2126,The situation makes Kristin feel depressed.,1
7780,The conversation with Ryan was irritating.,0
1429,The situation makes Harry feel disappointed.,1
4237,Shereen made me feel glad.,3
2477,I made Jerome feel glad.,3
853,Heather feels anxious.,2
816,Amanda feels ecstatic.,3
2687,I made Alan feel devastated.,1
2266,The situation makes my sister feel depressed.,1
4622,This woman made me feel irritated.,0
2195,The situation makes Ellen feel happy.,3
6516,Roger told us all about the recent hilarious events.,3
3846,Josh made me feel depressed.,1
6814,My uncle told us all about the recent dreadful events.,2
6413,Malik told us all about the recent shocking events.,2
5080,Alphonse found himself in an irritating situation.,0
798,Latoya feels relieved.,3
8430,The conversation with Ellen was horrible.,2
2027,The situation makes Courtney feel devastated.,1
4791,My mom made me feel discouraged.,2
653,Ebony feels anxious.,2
7400,My aunt told us all about the recent irritating events.,0
4758,My mother made me feel relieved.,3
7869,The conversation with this man was gloomy.,1
5852,Amanda found herself in a terrifying situation.,2
2525,I made Darnell feel sad.,1
