,Sentence2,Emotion
5520,my daughter found herself in a irritating situation.,0
7541,The conversation with Tia was vexing.,0
3496,I made my son feel ecstatic.,3
2654,I made Kristin feel fearful.,2
4510,Alan made me feel terrified.,2
4577,Ryan made me feel glad.,3
2729,I made Melanie feel disappointed.,1
1896,The situation makes Leroy feel ecstatic.,3
2634,I made Heather feel fearful.,2
2164,The situation makes Ryan feel annoyed.,0
3435,I made this man feel happy.,3
6078,this man found himself in a wonderful situation.,3
2892,I made my daughter feel scared.,2
2604,I made Amanda feel annoyed.,0
5847,Adam found himself in a grim situation.,1
7030,Jerome told us all about the recent horrible events.,2
302,Ellen feels irritated.,0
5264,Heather found herself in a displeasing situation.,0
4297,Leroy made me feel glad.,3
2429,I made Latisha feel disappointed.,1
3990,Katie made me feel terrified.,2
5545,my wife found herself in a depressing situation.,1
3593,I made my dad feel anxious.,2
4006,she made me feel depressed.,1
272,Nancy feels scared.,2
8442,The conversation with his was outrageous.,0
7038,Jerome told us all about the recent wonderful events.,3
6720,my daughter told us all about the recent irritating events.,0
3810,Amanda made me feel terrified.,2
4252,Alonzo made me feel scared.,2
3954,Stephanie made me feel fearful.,2
6520,Betsy told us all about the recent irritating events.,0
7200,Ryan told us all about the recent irritating events.,0
2564,I made Shereen feel annoyed.,0
3481,I made my son feel furious.,0
6031,Frank found himself in a threatening situation.,2
5144,Tia found herself in a displeasing situation.,0
6252,Ebony told us all about the recent terrifying events.,2
1882,The situation makes Leroy feel irritated.,0
3219,I made Adam feel excited.,3
1947,The situation makes Torrance feel devastated.,1
1714,The situation makes my wife feel fearful.,2
8023,The conversation with my mom was annoying.,0
1034,this man feels fearful.,2
5477,this woman found herself in a amazing situation.,3
4498,Jack made me feel relieved.,3
4022,this woman made me feel irritated.,0
8417,The conversation with Ryan was amazing.,3
8147,The conversation with Alphonse was grim.,1
5903,Justin found himself in a annoying situation.,0
8351,The conversation with Alan was threatening.,2
1656,The situation makes this girl feel ecstatic.,3
7818,The conversation with Courtney was wonderful.,3
3803,Amanda made me feel enraged.,0
6895,Alonzo told us all about the recent funny events.,3
7032,Jerome told us all about the recent terrifying events.,2
8263,The conversation with Andrew was annoying.,0
4429,Andrew made me feel disappointed.,1
2218,The situation makes his feel relieved.,3
1157,my father feels glad.,3
5407,Courtney found herself in a grim situation.,1
7010,Darnell told us all about the recent horrible events.,2
491,my daughter feels discouraged.,2
